month,mother_age,child_gender,mother_race,birth_count
2020-01,15  -  19,F,CHINESE,2
2020-01,15  -  19,M,CHINESE,7
2020-01,15  -  19,F,INDIANS,2
2020-01,15  -  19,M,INDIANS,1
2020-01,15  -  19,F,MALAYS,10
2020-01,15  -  19,M,MALAYS,10
2020-01,20  -  24,F,CHINESE,22
2020-01,20  -  24,M,CHINESE,28
2020-01,20  -  24,F,INDIANS,7
2020-01,20  -  24,M,INDIANS,11
2020-01,20  -  24,F,MALAYS,25
2020-01,20  -  24,M,MALAYS,25
2020-01,20  -  24,F,OTHERS,7
2020-01,20  -  24,M,OTHERS,11
2020-01,25  -  29,F,CHINESE,163
2020-01,25  -  29,M,CHINESE,196
2020-01,25  -  29,F,INDIANS,36
2020-01,25  -  29,M,INDIANS,49
2020-01,25  -  29,F,MALAYS,132
2020-01,25  -  29,M,MALAYS,143
2020-01,25  -  29,F,OTHERS,37
2020-01,25  -  29,M,OTHERS,41
2020-01,30  -  34,F,CHINESE,426
2020-01,30  -  34,M,CHINESE,452
2020-01,30  -  34,F,INDIANS,72
2020-01,30  -  34,M,INDIANS,73
2020-01,30  -  34,F,MALAYS,107
2020-01,30  -  34,M,MALAYS,143
2020-01,30  -  34,F,OTHERS,78
2020-01,30  -  34,M,OTHERS,73
2020-01,35  -  39,F,CHINESE,249
2020-01,35  -  39,M,CHINESE,231
2020-01,35  -  39,F,INDIANS,37
2020-01,35  -  39,M,INDIANS,48
2020-01,35  -  39,F,MALAYS,42
2020-01,35  -  39,M,MALAYS,62
2020-01,35  -  39,F,OTHERS,68
2020-01,35  -  39,M,OTHERS,74
2020-01,40  -  44,F,CHINESE,57
2020-01,40  -  44,M,CHINESE,53
2020-01,40  -  44,F,INDIANS,5
2020-01,40  -  44,M,INDIANS,3
2020-01,40  -  44,F,MALAYS,7
2020-01,40  -  44,M,MALAYS,5
2020-01,40  -  44,F,OTHERS,14
2020-01,40  -  44,M,OTHERS,13
2020-01,45  -  49,F,CHINESE,2
2020-01,45  -  49,M,CHINESE,3
2020-01,45  -  49,M,INDIANS,2
2020-01,45  -  49,F,OTHERS,1
2020-01,Under 15,F,CHINESE,1
2020-01,Under 15,F,MALAYS,1
2020-01,Unknown,M,OTHERS,1
2020-02,15  -  19,F,CHINESE,3
2020-02,15  -  19,M,CHINESE,4
2020-02,15  -  19,M,INDIANS,1
2020-02,15  -  19,F,MALAYS,7
2020-02,15  -  19,M,MALAYS,3
2020-02,15  -  19,F,OTHERS,1
2020-02,15  -  19,M,OTHERS,1
2020-02,20  -  24,F,CHINESE,19
2020-02,20  -  24,M,CHINESE,22
2020-02,20  -  24,F,INDIANS,9
2020-02,20  -  24,M,INDIANS,9
2020-02,20  -  24,F,MALAYS,22
2020-02,20  -  24,M,MALAYS,32
2020-02,20  -  24,F,OTHERS,10
2020-02,20  -  24,M,OTHERS,5
2020-02,25  -  29,F,CHINESE,142
2020-02,25  -  29,M,CHINESE,175
2020-02,25  -  29,F,INDIANS,42
2020-02,25  -  29,M,INDIANS,33
2020-02,25  -  29,F,MALAYS,117
2020-02,25  -  29,M,MALAYS,113
2020-02,25  -  29,F,OTHERS,28
2020-02,25  -  29,M,OTHERS,27
2020-02,30  -  34,F,CHINESE,375
2020-02,30  -  34,M,CHINESE,413
2020-02,30  -  34,F,INDIANS,68
2020-02,30  -  34,M,INDIANS,60
2020-02,30  -  34,U,INDIANS,1
2020-02,30  -  34,F,MALAYS,113
2020-02,30  -  34,M,MALAYS,122
2020-02,30  -  34,F,OTHERS,63
2020-02,30  -  34,M,OTHERS,64
2020-02,35  -  39,F,CHINESE,212
2020-02,35  -  39,M,CHINESE,245
2020-02,35  -  39,F,INDIANS,29
2020-02,35  -  39,M,INDIANS,38
2020-02,35  -  39,F,MALAYS,48
2020-02,35  -  39,M,MALAYS,44
2020-02,35  -  39,F,OTHERS,49
2020-02,35  -  39,M,OTHERS,58
2020-02,40  -  44,F,CHINESE,44
2020-02,40  -  44,M,CHINESE,49
2020-02,40  -  44,F,INDIANS,7
2020-02,40  -  44,M,INDIANS,2
2020-02,40  -  44,F,MALAYS,4
2020-02,40  -  44,M,MALAYS,4
2020-02,40  -  44,F,OTHERS,8
2020-02,40  -  44,M,OTHERS,7
2020-02,45  -  49,F,CHINESE,2
2020-02,45  -  49,M,CHINESE,2
2020-02,45  -  49,F,OTHERS,1
2020-02,45  -  49,M,OTHERS,2
2020-02,Unknown,M,OTHERS,1
2020-03,15  -  19,F,CHINESE,3
2020-03,15  -  19,M,CHINESE,2
2020-03,15  -  19,F,MALAYS,4
2020-03,15  -  19,M,MALAYS,7
2020-03,15  -  19,F,OTHERS,1
2020-03,20  -  24,F,CHINESE,19
2020-03,20  -  24,M,CHINESE,26
2020-03,20  -  24,F,INDIANS,10
2020-03,20  -  24,M,INDIANS,11
2020-03,20  -  24,F,MALAYS,32
2020-03,20  -  24,M,MALAYS,24
2020-03,20  -  24,F,OTHERS,5
2020-03,20  -  24,M,OTHERS,10
2020-03,25  -  29,F,CHINESE,154
2020-03,25  -  29,M,CHINESE,143
2020-03,25  -  29,F,INDIANS,30
2020-03,25  -  29,M,INDIANS,34
2020-03,25  -  29,F,MALAYS,107
2020-03,25  -  29,M,MALAYS,136
2020-03,25  -  29,F,OTHERS,26
2020-03,25  -  29,M,OTHERS,29
2020-03,30  -  34,F,CHINESE,395
2020-03,30  -  34,M,CHINESE,437
2020-03,30  -  34,F,INDIANS,52
2020-03,30  -  34,M,INDIANS,86
2020-03,30  -  34,F,MALAYS,116
2020-03,30  -  34,M,MALAYS,105
2020-03,30  -  34,F,OTHERS,77
2020-03,30  -  34,M,OTHERS,72
2020-03,35  -  39,F,CHINESE,250
2020-03,35  -  39,M,CHINESE,236
2020-03,35  -  39,F,INDIANS,30
2020-03,35  -  39,M,INDIANS,30
2020-03,35  -  39,F,MALAYS,49
